count,time
3495,9:31:00
255,9:38:00
176,13:01:00
32,11:10:00
64,14:55:00
37,10:51:00
68,10:30:00
45,14:44:00
71,10:21:00
38,13:21:00
17,11:20:00
29,13:49:00
34,13:20:00
24,13:43:00
57,10:43:00
27,11:18:00
241,9:49:00
55,10:37:00
30,11:05:00
192,9:47:00
201,9:48:00
217,9:50:00
131,9:58:00
251,9:46:00
98,10:06:00
72,10:13:00
188,9:53:00
35,13:22:00
39,14:03:00
28,14:27:00
37,10:55:00
23,13:36:00
139,10:03:00
39,13:51:00
31,14:29:00
59,10:17:00
115,13:03:00
28,13:58:00
62,14:18:00
58,14:49:00
70,14:52:00
43,13:45:00
33,11:13:00
45,10:27:00
51,13:11:00
47,10:19:00
35,14:06:00
30,14:28:00
36,13:50:00
38,10:49:00
47,10:39:00
41,11:01:00
69,10:10:00
1952,9:30:00
28,11:07:00
68,13:05:00
82,10:09:00
15,11:25:00
38,13:42:00
38,10:33:00
27,13:39:00
27,13:31:00
44,14:34:00
62,13:14:00
146,10:04:00
36,11:16:00
55,10:45:00
115,10:05:00
33,14:14:00
135,10:02:00
46,13:40:00
82,13:12:00
30,10:40:00
44,10:44:00
32,11:29:00
61,14:40:00
37,13:25:00
36,10:56:00
30,14:47:00
132,9:57:00
23,11:23:00
38,14:13:00
45,10:34:00
31,13:44:00
37,14:09:00
111,14:56:00
51,10:28:00
37,14:46:00
147,10:01:00
35,10:42:00
37,13:18:00
32,11:04:00
42,14:30:00
43,14:45:00
54,10:24:00
88,10:08:00
349,9:34:00
37,14:35:00
34,13:19:00
28,13:28:00
60,14:53:00
36,11:09:00
63,14:51:00
49,14:37:00
26,11:22:00
31,14:25:00
32,14:12:00
846,9:32:00
267,9:37:00
194,9:51:00
72,10:14:00
180,9:44:00
40,11:08:00
25,14:24:00
43,13:56:00
52,13:16:00
28,11:21:00
50,14:16:00
30,13:32:00
33,11:26:00
45,10:50:00
53,10:47:00
53,13:08:00
32,11:11:00
24,10:52:00
46,13:09:00
17,11:19:00
40,10:38:00
24,10:59:00
28,14:00:00
35,10:53:00
56,14:54:00
59,10:31:00
224,9:41:00
49,10:20:00
52,14:31:00
55,13:06:00
30,11:30:00
34,14:10:00
28,10:57:00
27,13:48:00
38,13:41:00
40,11:27:00
46,14:19:00
199,9:45:00
36,13:30:00
42,13:38:00
35,13:52:00
42,10:46:00
43,14:33:00
33,11:28:00
36,13:10:00
55,14:50:00
161,9:55:00
29,14:05:00
200,14:57:00
165,9:52:00
136,9:54:00
28,14:02:00
55,14:41:00
105,13:04:00
46,13:29:00
19,13:59:00
111,10:00:00
23,11:06:00
44,13:27:00
47,14:07:00
255,9:39:00
51,14:17:00
36,10:35:00
32,13:54:00
43,10:41:00
32,11:03:00
16,14:58:00
38,14:01:00
32,14:23:00
25,14:11:00
39,10:18:00
23,13:34:00
27,10:54:00
43,11:00:00
36,14:26:00
363,9:36:00
50,13:53:00
24,13:35:00
30,13:55:00
53,13:15:00
29,13:24:00
39,14:21:00
238,9:43:00
43,13:17:00
78,10:07:00
50,14:48:00
44,10:36:00
31,11:14:00
22,13:33:00
40,11:15:00
69,13:07:00
26,13:47:00
43,13:26:00
170,9:56:00
82,13:02:00
24,13:46:00
19,10:58:00
29,11:02:00
38,11:17:00
37,14:08:00
65,14:39:00
29,10:29:00
95,9:59:00
40,10:25:00
37,14:20:00
73,10:15:00
91,15:00:00
44,14:36:00
369,9:35:00
40,14:42:00
35,14:43:00
59,10:16:00
13,11:24:00
56,10:23:00
33,13:23:00
22,11:12:00
31,13:37:00
26,14:04:00
260,9:40:00
39,10:48:00
43,10:32:00
477,9:33:00
202,9:42:00
117,10:11:00
36,14:32:00
51,10:26:00
53,10:22:00
35,13:57:00
26,14:22:00
51,14:38:00
84,10:12:00
64,13:13:00
46,14:15:00
